#stripid,cmsswid,FED,CCU,VFE,logicid
41424,872422095,603,9,2,1216030902
41480,872421969,603,4,3,1216030403
41488,872421839,603,9,4,1216030904
41496,872421841,603,4,5,1216030405
41544,872422860,603,13,1,1216031301
41552,872422604,603,13,3,1216031303
41608,872422476,603,13,5,1216031305
41672,872422220,603,9,1,1216030901
41680,872421964,603,9,3,1216030903
41736,872421836,603,9,5,1216030905
41800,872422728,603,14,3,1216031403
41808,872422599,603,14,4,1216031404
41864,872422471,603,14,5,1216031405
41872,872422217,603,10,1,1216031001
41928,872422089,603,10,3,1216031003
41992,872421833,603,10,5,1216031005
42056,872422468,603,15,5,1216031505
42120,872422213,603,11,1,1216031101
42184,872422087,603,10,2,1216031002
42192,872421957,603,11,3,1216031103
42248,872421831,603,10,4,1216031004
42256,872421828,603,11,5,1216031105
42376,872422082,603,11,2,1216031102
42504,872421826,603,11,4,1216031104
42632,872422206,603,12,1,1216031201
42640,872422078,603,12,2,1216031202
42760,872421950,603,12,3,1216031203
42768,872421822,603,12,4,1216031204
49224,872421334,604,3,5,1216040305
49232,872421461,604,4,4,1216040404
49288,872421203,604,4,1,1216040401
49296,872420948,604,8,5,1216040805
49352,872420818,604,8,3,1216040803
49360,872420690,604,8,2,1216040802
49416,872420561,604,8,1,1216040801
49424,872420433,604,24,5,1216042405
49432,872420180,604,24,4,1216042404
49480,872421585,604,4,5,1216040405
49488,872421456,604,9,4,1216040904
49496,872421457,604,4,3,1216040403
49544,872421199,604,9,2,1216040902
49552,872421201,604,4,2,1216040402
49608,872420689,604,8,4,1216040804
49616,872420816,604,13,4,1216041304
49672,872420559,604,13,2,1216041302
49736,872421581,604,9,5,1216040905
49800,872421324,604,9,3,1216040903
49808,872421196,604,9,1,1216040901
49864,872420941,604,13,5,1216041305
49928,872420684,604,13,3,1216041303
49936,872420556,604,13,1,1216041301
49992,872421578,604,10,5,1216041005
50056,872421322,604,10,3,1216041003
50120,872421192,604,10,1,1216041001
50128,872421063,604,14,5,1216041405
50184,872420935,604,14,4,1216041404
50192,872420683,604,14,3,1216041403
50248,872421575,604,10,4,1216041004
50256,872421572,604,11,5,1216041105
50312,872421316,604,11,3,1216041103
50320,872421191,604,10,2,1216041002
50376,872421188,604,11,1,1216041101
50440,872420933,604,15,5,1216041505
50568,872421443,604,11,4,1216041104
50696,872421186,604,11,2,1216041102
50824,872421566,604,12,4,1216041204
50832,872421440,604,12,3,1216041203
50952,872421310,604,12,2,1216041202
50960,872421182,604,12,1,1216041201
57416,872420049,604,24,3,1216042403
57424,872419921,604,24,1,1216042401
57480,872419409,604,25,4,1216042504
57488,872419536,604,28,4,1216042804
57544,872419406,604,28,3,1216042803
57552,872419278,604,28,1,1216042801
57608,872419148,604,29,5,1216042905
57616,872418893,604,29,4,1216042904
57672,872420048,604,27,3,1216042703
57680,872420302,604,27,5,1216042705
57736,872420044,604,27,2,1216042702
57744,872419916,604,27,1,1216042701
57800,872419660,604,28,5,1216042805
57864,872419276,604,28,2,1216042802
57872,872419274,604,32,2,1216043202
57928,872420172,604,27,4,1216042704
57936,872420298,604,31,5,1216043105
57992,872420042,604,31,3,1216043103
58056,872419912,604,31,1,1216043101
58064,872419530,604,32,4,1216043204
58120,872419655,604,32,5,1216043205
58128,872419401,604,32,3,1216043203
58184,872420679,604,14,2,1216041402
58192,872420551,604,14,1,1216041401
58248,872420295,604,31,4,1216043104
58312,872420038,604,33,3,1216043303
58320,872419911,604,31,2,1216043102
58376,872419908,604,33,1,1216043301
58440,872420677,604,15,3,1216041503
58504,872420548,604,15,1,1216041501
58568,872420292,604,33,5,1216043305
58632,872420163,604,33,4,1216043304
58760,872420930,604,15,4,1216041504
58768,872420800,604,16,4,1216041604
58776,872420546,604,15,2,1216041502
58888,872420544,604,16,2,1216041602
59016,872420925,604,16,5,1216041605
59144,872420797,604,16,3,1216041603
59152,872420796,605,3,5,1216050305
59160,872420541,604,16,1,1216041601
65608,872418636,604,29,2,1216042902
65616,872418635,605,7,2,1216050702
65672,872418378,605,8,5,1216050805
65680,872418632,605,7,1,1216050701
65736,872417991,605,8,2,1216050802
65744,872418247,605,8,4,1216050804
65800,872417989,605,14,2,1216051402
65808,872418243,605,14,3,1216051403
65864,872419015,605,7,4,1216050704
