#stripid,cmsswid,FED,TT,VFE
305952,838887440,610,44,4
305960,838886928,610,44,5
305992,838889473,610,45,1
306000,838889985,610,45,2
306008,838890497,610,45,3
306016,838891009,610,45,4
306024,838891521,610,45,5
306056,838889478,610,46,1
306064,838889990,610,46,2
306072,838890502,610,46,3
306080,838891014,610,46,4
306088,838891526,610,46,5
306120,838889483,610,47,1
306128,838889995,610,47,2
306136,838890507,610,47,3
306144,838891019,610,47,4
306152,838891531,610,47,5
306184,838889488,610,48,1
306192,838890000,610,48,2
306200,838890512,610,48,3
306208,838891024,610,48,4
306216,838891536,610,48,5
306248,838892033,610,49,1
306256,838892545,610,49,2
306264,838893057,610,49,3
306272,838893569,610,49,4
306280,838894081,610,49,5
306312,838892038,610,50,1
306320,838892550,610,50,2
306328,838893062,610,50,3
306336,838893574,610,50,4
306344,838894086,610,50,5
306376,838892043,610,51,1
306384,838892555,610,51,2
306392,838893067,610,51,3
306400,838893579,610,51,4
306408,838894091,610,51,5
306440,838892048,610,52,1
306448,838892560,610,52,2
306456,838893072,610,52,3
306464,838893584,610,52,4
306472,838894096,610,52,5
306504,838896641,610,53,1
306512,838896129,610,53,2
306520,838895617,610,53,3
306528,838895105,610,53,4
306536,838894593,610,53,5
306568,838896646,610,54,1
306576,838896134,610,54,2
306584,838895622,610,54,3
306592,838895110,610,54,4
306600,838894598,610,54,5
306632,838896651,610,55,1
306640,838896139,610,55,2
306648,838895627,610,55,3
306656,838895115,610,55,4
306664,838894603,610,55,5
306696,838896656,610,56,1
306704,838896144,610,56,2
306712,838895632,610,56,3
306720,838895120,610,56,4
306728,838894608,610,56,5
306760,838899201,610,57,1
306768,838898689,610,57,2
306776,838898177,610,57,3
306784,838897665,610,57,4
306792,838897153,610,57,5
306824,838899206,610,58,1
306832,838898694,610,58,2
306840,838898182,610,58,3
306848,838897670,610,58,4
306856,838897158,610,58,5
306888,838899211,610,59,1
306896,838898699,610,59,2
306904,838898187,610,59,3
306912,838897675,610,59,4
306920,838897163,610,59,5
306952,838899216,610,60,1
306960,838898704,610,60,2
306968,838898192,610,60,3
306976,838897680,610,60,4
306984,838897168,610,60,5
307024,838900225,610,61,2
307032,838900737,610,61,3
307040,838901249,610,61,4
307048,838901761,610,61,5
307080,838899718,610,62,1
307088,838900230,610,62,2
307096,838900742,610,62,3
307104,838901254,610,62,4
307112,838901766,610,62,5
307144,838899723,610,63,1
307152,838900235,610,63,2
307160,838900747,610,63,3
307168,838901259,610,63,4
307176,838901771,610,63,5
307208,838899728,610,64,1
307216,838900240,610,64,2
307224,838900752,610,64,3
307232,838901264,610,64,4
307240,838901776,610,64,5
307272,838902273,610,65,1
307280,838902785,610,65,2
307288,838903297,610,65,3
307296,838903809,610,65,4
307304,838904321,610,65,5
307336,838902278,610,66,1
307344,838902790,610,66,2
307352,838903302,610,66,3
307360,838903814,610,66,4
307368,838904326,610,66,5
307400,838902283,610,67,1
307408,838902795,610,67,2
307416,838903307,610,67,3
307424,838903819,610,67,4
307432,838904331,610,67,5
307464,838902288,610,68,1
307472,838902800,610,68,2
307480,838903312,610,68,3
307488,838903824,610,68,4
307496,838904336,610,68,5
311368,838863381,611,1,1
311376,838862869,611,1,2
311384,838862357,611,1,3
311392,838861845,611,1,4
311400,838861333,611,1,5
311432,838863386,611,2,1
311440,838862874,611,2,2
311448,838862362,611,2,3
311456,838861850,611,2,4
311464,838861338,611,2,5
311496,838863391,611,3,1
311504,838862879,611,3,2
311512,838862367,611,3,3
311520,838861855,611,3,4
311528,838861343,611,3,5
311560,838863396,611,4,1
311568,838862884,611,4,2
311576,838862372,611,4,3
311584,838861860,611,4,4
311592,838861348,611,4,5
311624,838865941,611,5,1
311632,838865429,611,5,2
311640,838864917,611,5,3
311648,838864405,611,5,4
311656,838863893,611,5,5
311688,838865946,611,6,1
311696,838865434,611,6,2
311704,838864922,611,6,3
311712,838864410,611,6,4
311720,838863898,611,6,5
311752,838865951,611,7,1
311760,838865439,611,7,2
311768,838864927,611,7,3
311776,838864415,611,7,4
311784,838863903,611,7,5
311816,838865956,611,8,1
311824,838865444,611,8,2
311832,838864932,611,8,3
311840,838864420,611,8,4
311848,838863908,611,8,5
311880,838868501,611,9,1
311888,838867989,611,9,2
311896,838867477,611,9,3
311904,838866965,611,9,4
311912,838866453,611,9,5
311944,838868506,611,10,1
311952,838867994,611,10,2
311960,838867482,611,10,3
311968,838866970,611,10,4
311976,838866458,611,10,5
312008,838868511,611,11,1
312016,838867999,611,11,2
312024,838867487,611,11,3
312032,838866975,611,11,4
312040,838866463,611,11,5
312072,838868516,611,12,1
312080,838868004,611,12,2
312088,838867492,611,12,3
312096,838866980,611,12,4
312104,838866468,611,12,5
312200,838869018,611,14,1
312208,838869530,611,14,2
312216,838870042,611,14,3
312224,838870554,611,14,4
312232,838871066,611,14,5
312264,838869023,611,15,1
312272,838869535,611,15,2
